"","category","term","ontology"
"GO:0034964","GO:0034964","box H/ACA RNA processing","BP"
"GO:0015786","GO:0015786","UDP-glucose transmembrane transport","BP"
"GO:0051908","GO:0051908","double-stranded DNA 5'-3' exodeoxyribonuclease activity","MF"
"GO:0050290","GO:0050290","sphingomyelin phosphodiesterase D activity","MF"
"GO:0140496","GO:0140496","gamma-tubulin complex binding","MF"
"GO:0006856","GO:0006856","eye pigment precursor transport","BP"
"GO:0008655","GO:0008655","pyrimidine-containing compound salvage","BP"
"GO:2000765","GO:2000765","regulation of cytoplasmic translation","BP"
"GO:0030033","GO:0030033","microvillus assembly","BP"
"GO:0030034","GO:0030034","microvillar actin bundle assembly","BP"
"GO:0008488","GO:0008488","gamma-glutamyl carboxylase activity","MF"
"GO:0003997","GO:0003997","acyl-CoA oxidase activity","MF"
"GO:0004021","GO:0004021","L-alanine:2-oxoglutarate aminotransferase activity","MF"
"GO:0047635","GO:0047635","alanine-oxo-acid transaminase activity","MF"
"GO:0099156","GO:0099156","cell-cell signaling via exosome","BP"
"GO:0099157","GO:0099157","trans-synaptic signaling via exosome","BP"
"GO:0016402","GO:0016402","pristanoyl-CoA oxidase activity","MF"
"GO:0004418","GO:0004418","hydroxymethylbilane synthase activity","MF"
"GO:0018160","GO:0018160","peptidyl-pyrromethane cofactor linkage","BP"
"GO:0034349","GO:0034349","glial cell apoptotic process","BP"
"GO:0005427","GO:0005427","proton-dependent oligopeptide secondary active transmembrane transporter activity","MF"
"GO:0015322","GO:0015322","secondary active oligopeptide transmembrane transporter activity","MF"
"GO:0007436","GO:0007436","larval salivary gland morphogenesis","BP"
"GO:0006397","GO:0006397","mRNA processing","BP"
"GO:0036093","GO:0036093","germ cell proliferation","BP"
"GO:0035285","GO:0035285","appendage segmentation","BP"
"GO:0036011","GO:0036011","imaginal disc-derived leg segmentation","BP"
"GO:0071008","GO:0071008","U2-type post-mRNA release spliceosomal complex","CC"
"GO:0072586","GO:0072586","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) regulator activity","MF"
"GO:0072587","GO:0072587","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activator activity","MF"
"GO:0007388","GO:0007388","posterior compartment specification","BP"
"GO:0016933","GO:0016933","extracellularly glycine-gated ion channel activity","MF"
"GO:0071731","GO:0071731","response to nitric oxide","BP"
"GO:0140460","GO:0140460","response to Gram-negative bacterium","BP"
"GO:0016573","GO:0016573","histone acetylation","BP"
"GO:0006998","GO:0006998","nuclear envelope organization","BP"
"GO:0022606","GO:0022606","establishment of proximal/distal cell polarity","BP"
"GO:0035320","GO:0035320","imaginal disc-derived wing hair site selection","BP"
"GO:0036098","GO:0036098","male germ-line stem cell population maintenance","BP"
"GO:0035642","GO:0035642","histone H3R17 methyltransferase activity","MF"
"GO:0070611","GO:0070611","histone H3R2 methyltransferase activity","MF"
"GO:0048306","GO:0048306","calcium-dependent protein binding","MF"
"GO:0051481","GO:0051481","negative regulation of cytosolic calcium ion concentration","BP"
"GO:2000431","GO:2000431","regulation of cytokinesis, actomyosin contractile ring assembly","BP"
"GO:0004157","GO:0004157","dihydropyrimidinase activity","MF"
"GO:0072357","GO:0072357","PTW/PP1 phosphatase complex","CC"
"GO:0010042","GO:0010042","response to manganese ion","BP"
"GO:0015086","GO:0015086","cadmium ion transmembrane transporter activity","MF"
"GO:0055071","GO:0055071","manganese ion homeostasis","BP"
"GO:0004689","GO:0004689","phosphorylase kinase activity","MF"
"GO:0004561","GO:0004561","alpha-N-acetylglucosaminidase activity","MF"
"GO:1905793","GO:1905793","protein localization to pericentriolar material","BP"
"GO:0004806","GO:0004806","triglyceride lipase activity","MF"
"GO:0002130","GO:0002130","wobble position ribose methylation","BP"
"GO:0004997","GO:0004997","thyrotropin-releasing hormone receptor activity","MF"
"GO:0042654","GO:0042654","ecdysis-triggering hormone receptor activity","MF"
"GO:0005940","GO:0005940","septin ring","CC"
"GO:0031105","GO:0031105","septin complex","CC"
"GO:0044282","GO:0044282","small molecule catabolic process","BP"
"GO:0005261","GO:0005261","monoatomic cation channel activity","MF"
"GO:1901693","GO:1901693","negative regulation of compound eye retinal cell apoptotic process","BP"
"GO:0003827","GO:0003827","alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity","MF"
"GO:0043843","GO:0043843","ADP-specific glucokinase activity","MF"
"GO:0051020","GO:0051020","GTPase binding","MF"
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","BP"
"GO:0150013","GO:0150013","negative regulation of neuron projection arborization","BP"
"GO:0016441","GO:0016441","post-transcriptional gene silencing","BP"
"GO:0051117","GO:0051117","ATPase binding","MF"
"GO:0007359","GO:0007359","posterior abdomen determination","BP"
"GO:1903863","GO:1903863","P granule assembly","BP"
"GO:0033565","GO:0033565","ESCRT-0 complex","CC"
"GO:0007624","GO:0007624","ultradian rhythm","BP"
"GO:0006349","GO:0006349","regulation of gene expression by genomic imprinting","BP"
"GO:0031324","GO:0031324","negative regulation of cellular metabolic process","BP"
"GO:0110072","GO:0110072","apical constriction involved in ventral furrow formation","BP"
"GO:0016344","GO:0016344","meiotic chromosome movement towards spindle pole","BP"
"GO:0016346","GO:0016346","male meiotic chromosome movement towards spindle pole","BP"
"GO:0031134","GO:0031134","sister chromatid biorientation","BP"
"GO:0055047","GO:0055047","generative cell mitosis","BP"
"GO:0008566","GO:0008566","mitochondrial protein-transporting ATPase activity","MF"
"GO:0010918","GO:0010918","positive regulation of mitochondrial membrane potential","BP"
"GO:1902018","GO:1902018","negative regulation of cilium assembly","BP"
"GO:0004591","GO:0004591","oxoglutarate dehydrogenase (succinyl-transferring) activity","MF"
"GO:0042551","GO:0042551","neuron maturation","BP"
"GO:0004758","GO:0004758","serine C-palmitoyltransferase activity","MF"
"GO:0016454","GO:0016454","C-palmitoyltransferase activity","MF"
"GO:0051097","GO:0051097","negative regulation of helicase activity","BP"
"GO:1905462","GO:1905462","regulation of DNA duplex unwinding","BP"
"GO:1905463","GO:1905463","negative regulation of DNA duplex unwinding","BP"
"GO:1905774","GO:1905774","regulation of DNA helicase activity","BP"
"GO:1905775","GO:1905775","negative regulation of DNA helicase activity","BP"
"GO:1904778","GO:1904778","positive regulation of protein localization to cell cortex","BP"
"GO:0036046","GO:0036046","protein demalonylation","BP"
"GO:0036047","GO:0036047","peptidyl-lysine demalonylation","BP"
"GO:0036048","GO:0036048","protein desuccinylation","BP"
"GO:0036049","GO:0036049","peptidyl-lysine desuccinylation","BP"
"GO:0036054","GO:0036054","protein-malonyllysine demalonylase activity","MF"
"GO:0036055","GO:0036055","protein-succinyllysine desuccinylase activity","MF"
"GO:0061697","GO:0061697","protein-glutaryllysine deglutarylase activity","MF"
"GO:0061698","GO:0061698","protein deglutarylation","BP"
"GO:0097372","GO:0097372","NAD-dependent histone H3K18 deacetylase activity","MF"
"GO:0004540","GO:0004540","RNA nuclease activity","MF"
"GO:1990404","GO:1990404","NAD+-protein ADP-ribosyltransferase activity","MF"
"GO:0002176","GO:0002176","male germ cell proliferation","BP"
"GO:1905937","GO:1905937","negative regulation of germ cell proliferation","BP"
"GO:2000254","GO:2000254","regulation of male germ cell proliferation","BP"
"GO:2000255","GO:2000255","negative regulation of male germ cell proliferation","BP"
"GO:0007084","GO:0007084","mitotic nuclear membrane reassembly","BP"
"GO:0101024","GO:0101024","mitotic nuclear membrane organization","BP"
"GO:1905832","GO:1905832","positive regulation of spindle assembly","BP"
"GO:2000433","GO:2000433","positive regulation of cytokinesis, actomyosin contractile ring assembly","BP"
"GO:0009233","GO:0009233","menaquinone metabolic process","BP"
"GO:0009234","GO:0009234","menaquinone biosynthetic process","BP"
"GO:0032194","GO:0032194","ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate","BP"
"GO:0042371","GO:0042371","vitamin K biosynthetic process","BP"
"GO:0000481","GO:0000481","maturation of 5S rRNA","BP"
"GO:0062149","GO:0062149","detection of stimulus involved in sensory perception of pain","BP"
"GO:0008265","GO:0008265","Mo-molybdopterin cofactor sulfurase activity","MF"
"GO:1903562","GO:1903562","microtubule bundle formation involved in mitotic spindle midzone assembly","BP"
"GO:1990883","GO:1990883","rRNA cytidine N-acetyltransferase activity","MF"
"GO:0008352","GO:0008352","katanin complex","CC"
"GO:0032483","GO:0032483","regulation of Rab protein signal transduction","BP"
"GO:0003887","GO:0003887","DNA-directed DNA polymerase activity","MF"
"GO:0017125","GO:0017125","deoxycytidyl transferase activity","MF"
"GO:0034061","GO:0034061","DNA polymerase activity","MF"
"GO:0042276","GO:0042276","error-prone translesion synthesis","BP"
"GO:0035507","GO:0035507","regulation of myosin-light-chain-phosphatase activity","BP"
"GO:0035509","GO:0035509","negative regulation of myosin-light-chain-phosphatase activity","BP"
"GO:0007227","GO:0007227","signal transduction downstream of smoothened","BP"
"GO:0007228","GO:0007228","positive regulation of hh target transcription factor activity","BP"
"GO:0004357","GO:0004357","glutamate-cysteine ligase activity","MF"
"GO:0052575","GO:0052575","carbohydrate localization","BP"
"GO:0052576","GO:0052576","carbohydrate storage","BP"
"GO:0042868","GO:0042868","antisense RNA metabolic process","BP"
"GO:0071040","GO:0071040","nuclear polyadenylation-dependent antisense transcript catabolic process","BP"
"GO:0071041","GO:0071041","antisense RNA transcript catabolic process","BP"
"GO:0071044","GO:0071044","histone mRNA catabolic process","BP"
"GO:0050801","GO:0050801","monoatomic ion homeostasis","BP"
"GO:2001223","GO:2001223","negative regulation of neuron migration","BP"
"GO:0090234","GO:0090234","regulation of kinetochore assembly","BP"
"GO:0034720","GO:0034720","histone H3-K4 demethylation","BP"
"GO:0140682","GO:0140682","FAD-dependent H3K4me/H3K4me3 demethylase activity","MF"
"GO:0009256","GO:0009256","10-formyltetrahydrofolate metabolic process","BP"
"GO:0009258","GO:0009258","10-formyltetrahydrofolate catabolic process","BP"
"GO:0016155","GO:0016155","formyltetrahydrofolate dehydrogenase activity","MF"
"GO:0042262","GO:0042262","DNA protection","BP"
"GO:0047186","GO:0047186","N-acetylneuraminate 7-O(or 9-O)-acetyltransferase activity","MF"
"GO:0097134","GO:0097134","cyclin E1-CDK2 complex","CC"
"GO:0060811","GO:0060811","intracellular mRNA localization involved in anterior/posterior axis specification","BP"
"GO:0008510","GO:0008510","sodium:bicarbonate symporter activity","MF"
"GO:0016301","GO:0016301","kinase activity","MF"
"GO:0004420","GO:0004420","hydroxymethylglutaryl-CoA reductase (NADPH) activity","MF"
"GO:0048505","GO:0048505","regulation of timing of cell differentiation","BP"
"GO:0031535","GO:0031535","plus-end directed microtubule sliding","BP"
"GO:0051038","GO:0051038","negative regulation of transcription involved in meiotic cell cycle","BP"
"GO:0017020","GO:0017020","myosin phosphatase regulator activity","MF"
"GO:0032038","GO:0032038","myosin II heavy chain binding","MF"
"GO:0060605","GO:0060605","tube lumen cavitation","BP"
"GO:0060662","GO:0060662","salivary gland cavitation","BP"
"GO:0070478","GO:0070478","nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay","BP"
"GO:0042656","GO:0042656","JUN kinase kinase kinase kinase activity","MF"
"GO:0001069","GO:0001069","regulatory region RNA binding","MF"
"GO:0033679","GO:0033679","3'-5' DNA/RNA helicase activity","MF"
"GO:0070130","GO:0070130","negative regulation of mitochondrial translation","BP"
"GO:0030997","GO:0030997","regulation of centriole-centriole cohesion","BP"
"GO:0071813","GO:0071813","lipoprotein particle binding","MF"
"GO:0071814","GO:0071814","protein-lipid complex binding","MF"
"GO:0005006","GO:0005006","epidermal growth factor receptor activity","MF"
"GO:0008071","GO:0008071","maternal determination of dorsal/ventral axis, ovarian follicular epithelium, soma encoded","BP"
"GO:0019220","GO:0019220","regulation of phosphate metabolic process","BP"
"GO:0051174","GO:0051174","regulation of phosphorus metabolic process","BP"
"GO:0004686","GO:0004686","elongation factor-2 kinase activity","MF"
"GO:0090053","GO:0090053","positive regulation of pericentric heterochromatin formation","BP"
"GO:0005700","GO:0005700","polytene chromosome","CC"
"GO:0007564","GO:0007564","regulation of chitin-based cuticle tanning","BP"
"GO:0097678","GO:0097678","SOCS family protein binding","MF"
"GO:0015016","GO:0015016","[heparan sulfate]-glucosamine N-sulfotransferase activity","MF"
"GO:0102140","GO:0102140","heparan sulfate N-deacetylase activity","MF"
"GO:0019439","GO:0019439","aromatic compound catabolic process","BP"
"GO:0005043","GO:0005043","netrin receptor activity involved in chemorepulsion","MF"
"GO:0005680","GO:0005680","anaphase-promoting complex","CC"
"GO:1900038","GO:1900038","negative regulation of cellular response to hypoxia","BP"
"GO:0090204","GO:0090204","protein localization to nuclear pore","BP"
"GO:0106292","GO:0106292","superoxide-generating NADPH oxidase activity","MF"
"GO:0007347","GO:0007347","regulation of preblastoderm mitotic cell cycle","BP"
"GO:0007491","GO:0007491","sternite morphogenesis","BP"
"GO:0006972","GO:0006972","hyperosmotic response","BP"
"GO:0042538","GO:0042538","hyperosmotic salinity response","BP"
"GO:0071472","GO:0071472","cellular response to salt stress","BP"
"GO:0071474","GO:0071474","cellular hyperosmotic response","BP"
"GO:0071475","GO:0071475","cellular hyperosmotic salinity response","BP"
"GO:0052767","GO:0052767","mannosyl-oligosaccharide 1,6-alpha-mannosidase activity","MF"
"GO:0043225","GO:0043225","ATPase-coupled inorganic anion transmembrane transporter activity","MF"
"GO:0006670","GO:0006670","sphingosine metabolic process","BP"
"GO:0046512","GO:0046512","sphingosine biosynthetic process","BP"
"GO:0046520","GO:0046520","sphingoid biosynthetic process","BP"
"GO:0030673","GO:0030673","axolemma","CC"
"GO:0043208","GO:0043208","glycosphingolipid binding","MF"
"GO:0000127","GO:0000127","transcription factor TFIIIC complex","CC"
"GO:0032055","GO:0032055","negative regulation of translation in response to stress","BP"
"GO:0032057","GO:0032057","negative regulation of translational initiation in response to stress","BP"
"GO:1904688","GO:1904688","regulation of cytoplasmic translational initiation","BP"
"GO:1904689","GO:1904689","negative regulation of cytoplasmic translational initiation","BP"
"GO:1990497","GO:1990497","regulation of cytoplasmic translation in response to stress","BP"
"GO:1990611","GO:1990611","regulation of cytoplasmic translational initiation in response to stress","BP"
"GO:1990625","GO:1990625","negative regulation of cytoplasmic translational initiation in response to stress","BP"
"GO:0030314","GO:0030314","junctional membrane complex","CC"
"GO:0055024","GO:0055024","regulation of cardiac muscle tissue development","BP"
"GO:0004070","GO:0004070","aspartate carbamoyltransferase activity","MF"
"GO:0004088","GO:0004088","carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","MF"
"GO:0004151","GO:0004151","dihydroorotase activity","MF"
"GO:0016743","GO:0016743","carboxyl- or carbamoyltransferase activity","MF"
"GO:0019240","GO:0019240","citrulline biosynthetic process","BP"
"GO:0070406","GO:0070406","glutamine binding","MF"
"GO:0042791","GO:0042791","5S class rRNA transcription by RNA polymerase III","BP"
"GO:0051649","GO:0051649","establishment of localization in cell","BP"
